Timestamp,Distance (mm)
2024-05-27 14:37:01,162
2024-05-27 14:37:03,159
2024-05-27 14:37:05,160
2024-05-27 14:37:07,158
2024-05-27 14:37:09,158
2024-05-27 14:37:11,161
2024-05-27 14:37:13,158
2024-05-27 14:37:15,158
2024-05-27 14:37:17,159
2024-05-27 14:37:19,160
2024-05-27 14:37:21,161
2024-05-27 14:37:23,161
2024-05-27 14:37:25,159
2024-05-27 14:37:27,161
2024-05-27 14:37:29,159
2024-05-27 14:37:31,159
2024-05-27 14:37:33,161
2024-05-27 14:37:35,158
2024-05-27 14:37:37,161
2024-05-27 14:37:39,160
2024-05-27 14:37:41,159
2024-05-27 14:37:43,157
2024-05-27 14:37:45,160
2024-05-27 14:37:47,161
2024-05-27 14:37:49,161
2024-05-27 14:37:51,162
2024-05-27 14:37:53,159
2024-05-27 14:37:55,162
2024-05-27 14:37:57,161
2024-05-27 14:37:59,156
2024-05-27 14:38:01,159
2024-05-27 14:38:03,159
2024-05-27 14:38:05,160
2024-05-27 14:38:07,160
2024-05-27 14:38:09,161
2024-05-27 14:38:11,160
2024-05-27 14:38:13,161
2024-05-27 14:38:15,161
2024-05-27 14:38:17,161
2024-05-27 14:38:19,161
2024-05-27 14:38:21,160
2024-05-27 14:38:23,161
2024-05-27 14:38:25,160
2024-05-27 14:38:27,159
2024-05-27 14:38:29,160
2024-05-27 14:38:31,160
2024-05-27 14:38:33,160
2024-05-27 14:38:35,162
2024-05-27 14:38:37,160
2024-05-27 14:38:39,160
2024-05-27 14:38:41,163
2024-05-27 14:38:43,163
2024-05-27 14:38:45,160
2024-05-27 14:38:47,159
2024-05-27 14:38:49,159
2024-05-27 14:38:51,162
2024-05-27 14:38:53,161
2024-05-27 14:38:55,163
2024-05-27 14:38:57,162
2024-05-27 14:38:59,160
2024-05-27 14:39:01,160
2024-05-27 14:39:03,157
2024-05-27 14:39:05,161
2024-05-27 14:39:07,162
2024-05-27 14:39:09,161
2024-05-27 14:39:11,160
2024-05-27 14:39:13,161
2024-05-27 14:39:15,163
2024-05-27 14:39:17,160
2024-05-27 14:39:19,159
2024-05-27 14:39:21,160
2024-05-27 14:39:23,159
2024-05-27 14:39:25,161
2024-05-27 14:39:27,163
2024-05-27 14:39:29,158
2024-05-27 14:39:31,160
2024-05-27 14:39:33,160
2024-05-27 14:39:35,160
2024-05-27 14:39:37,162
2024-05-27 14:39:39,160
2024-05-27 14:39:41,161
2024-05-27 14:39:43,162
2024-05-27 14:39:45,158
2024-05-27 14:39:47,160
2024-05-27 14:39:49,161
2024-05-27 14:39:51,161
2024-05-27 14:39:53,162
2024-05-27 14:39:55,161
2024-05-27 14:39:57,160
2024-05-27 14:39:59,158
2024-05-27 14:40:01,160
2024-05-27 14:40:03,159
2024-05-27 14:40:05,161
2024-05-27 14:40:07,158
2024-05-27 14:40:09,160
2024-05-27 14:40:11,160
2024-05-27 14:40:13,158
2024-05-27 14:40:15,162
2024-05-27 14:40:17,158
2024-05-27 14:40:19,160
2024-05-27 14:40:21,162
2024-05-27 14:40:23,160
2024-05-27 14:40:25,162
2024-05-27 14:40:27,159
2024-05-27 14:40:29,161
2024-05-27 14:40:31,161
2024-05-27 14:40:33,160
2024-05-27 14:40:35,160
2024-05-27 14:40:37,160
2024-05-27 14:40:39,161
2024-05-27 14:40:41,162
2024-05-27 14:40:43,157
2024-05-27 14:40:45,159
2024-05-27 14:40:47,161
2024-05-27 14:40:49,159
2024-05-27 14:40:51,162
2024-05-27 14:40:53,159
2024-05-27 14:40:55,161
2024-05-27 14:40:57,161
